City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
218,Loukhi,98,RU,1624610715,50,66.0764,33.0381,68.86,3.56
219,Hilo,90,US,1624610479,78,19.7297,-155.09,76.28,6.91
220,Bariloche,30,AR,1624610428,87,-41.1456,-71.3082,30.63,10.83
221,Teahupoo,22,PF,1624610716,80,-17.8333,-149.2667,75.16,14.07
222,Naberera,39,TZ,1624610716,49,-4.2,36.9333,70.45,8.21
223,Santarém,20,BR,1624610717,100,-2.4431,-54.7083,73.53,2.3
224,Ushibukamachi,71,JP,1624610717,68,32.1906,130.0228,76.14,4.38
225,Mandera,85,KE,1624610718,38,3.9366,41.867,88.43,18.52
226,Ushumun,84,RU,1624610718,89,52.7833,126.5333,62.11,11.7
227,Kampong Thom,100,KH,1624610719,53,12.7111,104.8887,92.55,1.97
228,Udachny,97,RU,1624610720,30,66.4167,112.4,77.65,4.41
229,Severo-Yeniseyskiy,95,RU,1624610720,58,60.3725,93.0408,61.83,9.06
230,Mackay,40,AU,1624610721,88,-21.15,149.2,71.04,9.22
231,Saint George,1,US,1624610722,34,37.1041,-113.5841,77.63,1.99
232,Nago,98,JP,1624610722,83,26.5881,127.9761,82.83,10.36
233,Mar del Plata,0,AR,1624610544,67,-38.0023,-57.5575,51.87,8.01
234,Grand Gaube,7,MU,1624610723,48,-20.0064,57.6608,77.4,8.99
235,Maridi,29,SS,1624610723,51,4.9158,29.4742,84.9,2.75
236,Tasiilaq,100,GL,1624610724,98,65.6145,-37.6368,39.36,4.76
237,Fortuna,90,US,1624610724,70,40.5982,-124.1573,62.42,1.01
238,Waitati,100,NZ,1624610725,88,-45.75,170.5667,51.8,5.01
239,Besançon,65,FR,1624610726,100,47.2488,6.0182,64.53,4.45
240,Tahe,99,CN,1624610727,68,52.3333,124.7333,72.03,4.88
241,San Juan,99,AR,1624610728,39,-31.5375,-68.5364,47.3,6.26
242,Lancaster,1,US,1624610435,91,40.2504,-76.2499,57.58,3.44
243,Rocha,0,UY,1624610729,75,-34.4833,-54.3333,48.31,10.07
244,Yar-Sale,53,RU,1624610730,32,66.8333,70.8333,62.01,7.61
245,Talnakh,99,RU,1624610730,40,69.4865,88.3972,54.99,21.45
246,Ciudad Bolivar,100,VE,1624610731,83,8.1222,-63.5497,76.41,6.15
247,Peschanokopskoye,26,RU,1624610731,46,46.1961,41.0775,86.67,3.15
248,Quatre Cocos,21,MU,1624610733,58,-20.2078,57.7625,77.11,13.24
249,Richards Bay,20,ZA,1624610508,68,-28.783,32.0377,71.64,9.8
250,Caravelas,1,BR,1624610733,76,-17.7125,-39.2481,67.39,2.75
251,Kahului,1,US,1624610734,78,20.8947,-156.47,78.84,6.91
252,Severo-Kuril'sk,100,RU,1624610735,89,50.6789,156.125,45.16,5.39
253,Mayor Pablo Lagerenza,100,PY,1624610736,74,-19.9309,-60.7718,64.72,1.66
254,Koryukivka,98,UA,1624610736,56,51.7688,32.2481,88.12,5.66
255,Tigil',100,RU,1624610737,96,57.8,158.6667,44.58,3.18
256,Yablonovo,64,RU,1624610737,53,50.8523,37.3574,89.46,10.71
257,Ormara,1,PK,1624610738,77,25.2088,64.6357,84.15,19.15
258,Monroe,90,US,1624610738,63,43.1501,-77.6831,69.35,9.22
259,Longyearbyen,75,SJ,1624610486,87,78.2186,15.6401,35.44,2.3
260,Kapaa,75,US,1624610739,80,22.0752,-159.319,80.92,1.01
261,Chibuto,0,MZ,1624610739,36,-24.6867,33.5306,76.59,6.87
262,Ongandjera,0,NA,1624610740,28,-17.8833,15.0667,68.94,7.7
263,Sisimiut,100,GL,1624610741,71,66.9395,-53.6735,43.45,14.07
264,Bad Aibling,53,DE,1624610741,65,47.8638,12.0106,71.1,6.73
265,The Pas,1,CA,1624610742,55,53.8251,-101.2541,59.02,8.05
266,Kaifeng,100,CN,1624610448,38,34.7911,114.3483,79.66,11.9
267,Chifeng,97,CN,1624610743,74,42.2683,118.9636,69.46,9.6
268,Sinnamary,26,GF,1624610744,84,5.3833,-52.95,76.21,8.55
269,Almaznyy,2,RU,1624610744,31,48.0448,40.045,84.34,9.84
270,Raymondville,1,US,1624610745,88,26.4815,-97.7831,82.35,10.33
271,Vestmannaeyjar,3,IS,1624610720,85,63.4427,-20.2734,49.93,10.13
272,Valera,93,VE,1624610745,91,9.3178,-70.6036,68.31,4.81
273,Petropavlovsk-Kamchatskiy,40,RU,1624610746,54,53.0452,158.6483,54.19,13.42
274,Bandundu Province,2,CD,1624610746,36,-3.3167,17.3667,94.03,1.63
275,Mareeba,95,AU,1624610747,86,-17.0,145.4333,68.72,3.85
276,Oktyabr'skoye,40,RU,1624610747,54,43.0645,44.7417,84.34,4.47
277,Kavaratti,96,IN,1624610748,74,10.5669,72.642,82.98,14.79
278,Otukpo,8,NG,1624610748,63,7.1913,8.1329,84.99,1.23
279,Tongren,100,CN,1624610749,70,27.7172,109.1853,88.09,5.06
280,Sulangan,81,PH,1624610749,65,11.1373,123.7228,85.37,3.15
281,Ribeira Grande,20,PT,1624610750,73,38.5167,-28.7,68.4,4.61
282,Saiha,56,IN,1624610751,91,22.4833,92.9667,79.29,2.82
283,Vardø,90,NO,1624610751,100,70.3705,31.1107,52.0,4.61
284,Juradó,100,CO,1624610752,91,7.1053,-77.7641,74.79,2.51
285,Bom Conselho,14,BR,1624610753,96,-9.1697,-36.6797,60.82,3.22
286,Liwale,1,TZ,1624610753,35,-9.7667,37.9333,80.96,6.04
287,Codrington,59,AU,1624610754,84,-38.2667,141.9667,51.49,13.69
288,Estepa,2,ES,1624610754,36,37.2926,-4.879,79.79,10.92
289,Kanigoro,98,ID,1624610755,82,-8.13,112.219,79.0,7.87
290,Hasaki,100,JP,1624610756,77,35.7333,140.8333,78.19,9.8
291,Aragarças,5,BR,1624610756,52,-15.8975,-52.2508,63.18,1.52
292,Yulara,0,AU,1624610757,41,-25.2406,130.9889,58.84,8.05
293,Taoudenni,43,ML,1624610757,10,22.6783,-3.9836,104.04,7.47
294,Lüderitz,6,NA,1624610757,48,-26.6481,15.1594,62.17,7.25
295,Potam,100,MX,1624610758,63,27.6,-110.3833,80.92,6.73
296,Agüimes,75,ES,1624610759,60,27.9054,-15.4461,66.83,14.97
297,Mayo,10,US,1624610759,92,38.8876,-76.5119,60.94,3.11
298,Isiro,78,CD,1624610760,45,2.7739,27.616,86.25,2.51
299,Saint-Joseph,18,RE,1624610761,69,-21.3667,55.6167,75.56,10.22
300,Avdeyevka,4,UA,1624610762,28,48.1399,37.7426,89.58,10.45
301,Zhangye,88,CN,1624610763,14,38.9342,100.4517,87.3,4.76
302,Panabá,6,MX,1624610763,94,21.2833,-88.2667,74.08,5.08
303,Pangkalanbuun,100,ID,1624610586,87,-2.6833,111.6167,76.75,0.87
304,Padang,51,ID,1624610764,76,-0.9492,100.3543,87.85,4.54
305,Concarneau,100,FR,1624610764,87,47.875,-3.9225,63.05,8.08
306,Puri,81,IN,1624610765,68,19.8,85.85,93.72,13.78
307,Avarua,90,CK,1624610765,94,-21.2078,-159.775,75.25,14.97
308,Pacific Grove,4,US,1624610766,84,36.6177,-121.9166,60.48,3.0
309,Panacan,83,PH,1624610766,67,9.2463,118.4082,87.91,5.93
310,Dabakala,100,CI,1624610767,69,8.3667,-4.4333,79.77,2.42
311,Yerbogachën,100,RU,1624610768,65,61.2767,108.0108,70.68,10.56
312,Chui,0,UY,1624610768,85,-33.6971,-53.4616,45.97,9.28
313,Pangody,72,RU,1624610769,30,65.85,74.4859,63.41,14.79
314,Keuruu,52,FI,1624610770,55,62.2667,24.7,72.81,5.95
315,Melhus,100,NO,1624610770,81,63.2855,10.2781,55.06,2.33
316,Waingapu,98,ID,1624610771,75,-9.6567,120.2641,81.79,10.31
317,Ludvika,98,SE,1624610771,56,60.1496,15.1878,73.6,3.06
318,Ariquemes,1,BR,1624610771,74,-9.9133,-63.0408,66.33,1.68
319,Sibolga,68,ID,1624610772,66,1.7427,98.7792,84.78,3.51
320,Beipiao,100,CN,1624610773,94,41.7919,120.7792,65.73,10.71
321,Saýat,0,TM,1624610773,14,38.7839,63.8803,94.87,20.42
322,Vila Velha,0,BR,1624610774,94,-20.3297,-40.2925,58.95,0.0
323,Mogadishu,40,SO,1624610511,58,2.0371,45.3438,84.07,19.57
324,Nchelenge,47,ZM,1624610775,39,-9.3451,28.734,76.24,6.17
325,Lagdo,90,CM,1624610775,49,9.05,13.7333,85.32,1.52
326,Skibbereen,16,IE,1624610776,67,51.55,-9.2667,55.2,13.94
327,Mācherla,100,IN,1624610776,44,16.4833,79.4333,89.51,11.03
328,Andros Town,76,BS,1624610777,72,24.7,-77.7667,81.18,16.31
329,Āsosa,88,ET,1624610777,55,10.0667,34.5333,76.12,4.7
330,Saldanha,64,ZA,1624610778,84,-33.0117,17.9442,55.45,24.56
331,Cidreira,26,BR,1624610778,87,-30.1811,-50.2056,56.64,11.81
332,Banda Aceh,73,ID,1624610608,66,5.5577,95.3222,84.9,12.01
333,Bethel,90,US,1624610780,87,41.3712,-73.414,61.93,0.0
334,Byron Bay,100,AU,1624610780,89,-28.65,153.6167,66.18,10.18
335,Alofi,100,NU,1624610781,83,-19.0595,-169.9187,73.29,12.66
336,Nakamura,91,JP,1624610781,83,32.9833,132.9333,75.16,2.89
337,Rio Grande,0,BR,1624610782,87,-32.035,-52.0986,49.95,13.49
338,Bonavista,0,CA,1624610782,81,48.6499,-53.1147,53.11,6.2
339,Tegul'det,100,RU,1624610783,80,57.3064,88.1667,57.02,8.28
340,Catabola,30,AO,1624610784,28,-12.15,17.2833,66.69,4.99
341,Necochea,0,AR,1624610784,64,-38.5473,-58.7368,47.07,11.54
342,Saryg-Sep,98,RU,1624610785,22,51.5,95.6,82.6,7.9
343,Lilongwe,40,MW,1624610616,46,-13.9669,33.7873,71.8,8.05
344,Manaure,100,CO,1624610786,83,11.7751,-72.4445,77.43,6.33
345,Bahía Blanca,99,AR,1624610592,63,-38.7196,-62.2724,50.59,9.86
346,Hegang,78,CN,1624610787,48,47.4,130.3667,80.87,9.22
347,Deputatsky,30,RU,1624610788,24,69.3,139.9,73.47,11.81
348,Aloleng,100,PH,1624610788,78,16.1307,119.7824,82.27,9.24
349,Manta,75,EC,1624610789,88,-0.95,-80.7333,73.18,5.75
350,Magadan,100,RU,1624610789,80,59.5667,150.8,53.1,5.08
351,Erzin,10,TR,1624610790,57,36.9559,36.2,88.32,7.11
352,Khovd,100,MN,1624610790,22,48.0056,91.6419,74.8,26.53
353,Westport,90,US,1624610774,91,41.1415,-73.3579,64.54,1.99
354,Bulanash,67,RU,1624610791,47,57.2783,61.9965,78.06,3.76
355,Gōdo,62,JP,1624610792,93,35.4167,136.6,79.05,3.96
